month,naics_code,kind_of_business,value
2008-02-01,4451,Grocery stores,39915
2008-02-01,44511,Supermarkets and other grocery (except convenience) stores,38147
2008-02-01,4453,"Beer, wine, and liquor stores",2806
2008-02-01,446,Health and personal care stores,20056
2008-02-01,44611,Pharmacies and drug stores,17201
2008-02-01,447,Gasoline stations,37616
2008-02-01,448,Clothing and clothing access. stores,15876
2008-02-01,4481,Clothing stores,11092
2008-02-01,44811,Men's clothing stores,586
2008-02-01,44812,Women's clothing stores,2763
2008-02-01,44814,Family clothing stores,5603
2008-02-01,44819,Other clothing stores,911
2008-02-01,4482,Shoe stores,2037
2008-02-01,44831,Jewelry stores,2609
2008-02-01,451,"Sporting goods, hobby, musical instrument, and book stores",5495
2008-02-01,45111,Sporting goods stores,2415
2021-10-01,44221,Floor covering stores,
2008-02-01,45112,"Hobby, toy, and game stores",1078
2008-02-01,451211,Book stores,1157
2008-02-01,452,General merchandise stores,44263
2008-02-01,4521,Department stores,14291
2008-02-01,452111,Department stores(excl. discount department stores),5150
2008-02-01,452112,Discount dept. stores,9141
2008-02-01,4529,Other general merchandise stores,29972
2008-02-01,45291,Warehouse clubs and superstores,26608
2008-02-01,45299,All other gen. merchandise stores,3364
2008-02-01,453,Miscellaneous store retailers,8730
2008-02-01,4532,"Office supplies, stationery, and gift stores",3092
2008-02-01,45321,Office supplies and stationery stores,1854
2008-02-01,45322,"Gift, novelty, and souvenir stores",1238
2008-02-01,45330,Used merchandise stores,893
2008-02-01,454,Nonstore retailers,25919
2008-02-01,4541,Electronic shopping and mail-order houses,17399
2008-02-01,45431,Fuel dealers,4899
2008-02-01,722,Food services and drinking places,35722
2008-02-01,7224,Drinking places,1528
2008-02-01,7225,Restaurants and other eating places,30854
2008-02-01,722511,Full service restaurants,15862
2008-02-01,"722513, 722514, 722515",Limited service eating places,14992
2008-01-01,no code,"Retail and food services sales, total",342639
2008-01-01,no code,Retail sales and food services excl motor vehicle and parts,276796
2008-01-01,no code,Retail sales and food services excl gasoline stations,303949
2008-01-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,238106
2008-01-01,no code,"Retail sales, total",307576
2008-01-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",241733
2008-01-01,no code,GAFO(1),82944
2008-01-01,441,Motor vehicle and parts dealers,65843
2008-01-01,"44,114,412",Automobile and other motor vehicle dealers,60169
2008-01-01,4411,Automobile dealers,56319
2008-01-01,44111,New car dealers,49775
2008-01-01,44112,Used car dealers,6544
2008-01-01,4413,"Automotive parts, acc., and tire stores",5674
2008-01-01,"442,443","Furniture, home furn, electronics, and appliance stores",16843
2008-01-01,442,Furniture and home furnishings stores,8163
2008-01-01,4421,Furniture stores,4597
2008-01-01,4422,Home furnishings stores,3566
2008-01-01,44221,Floor covering stores,1475
2008-01-01,442299,All other home furnishings stores,1964
2008-01-01,443,Electronics and appliance stores,8680
2008-01-01,443141,Household appliance stores,1316
2008-01-01,443142,Electronics stores,7364
2008-01-01,444,Building mat. and garden equip. and supplies dealers,20551
2008-01-01,4441,Building mat. and supplies dealers,18677
2008-01-01,44412,Paint and wallpaper stores,674
2008-01-01,44413,Hardware stores,1416
2008-01-01,445,Food and beverage stores,45794
2008-01-01,4451,Grocery stores,41864
2008-01-01,44511,Supermarkets and other grocery (except convenience) stores,40060
2008-01-01,4453,"Beer, wine, and liquor stores",2675
2008-01-01,446,Health and personal care stores,20200
2008-01-01,44611,Pharmacies and drug stores,17449
2008-01-01,447,Gasoline stations,38690
2008-01-01,448,Clothing and clothing access. stores,14173
2008-01-01,4481,Clothing stores,10478
2008-01-01,44811,Men's clothing stores,609
2008-01-01,44812,Women's clothing stores,2519
2008-01-01,44814,Family clothing stores,5240
2008-01-01,44819,Other clothing stores,967
2008-01-01,4482,Shoe stores,1772
2008-01-01,44831,Jewelry stores,1797
2008-01-01,451,"Sporting goods, hobby, musical instrument, and book stores",6532
2008-01-01,45111,Sporting goods stores,2315
2008-01-01,45112,"Hobby, toy, and game stores",1045
2008-01-01,451211,Book stores,2300
2008-01-01,452,General merchandise stores,42183
2008-01-01,4521,Department stores,13214
2008-01-01,452111,Department stores(excl. discount department stores),4558
2008-01-01,452112,Discount dept. stores,8656
2008-01-01,4529,Other general merchandise stores,28969
2008-01-01,45291,Warehouse clubs and superstores,25762
2008-01-01,45299,All other gen. merchandise stores,3207
2008-01-01,453,Miscellaneous store retailers,9094
2008-01-01,4532,"Office supplies, stationery, and gift stores",3213
2008-01-01,45321,Office supplies and stationery stores,2115
2008-01-01,45322,"Gift, novelty, and souvenir stores",1098
2008-01-01,45330,Used merchandise stores,866
2008-01-01,454,Nonstore retailers,27673
2008-01-01,4541,Electronic shopping and mail-order houses,18651
2008-01-01,45431,Fuel dealers,5377
2008-01-01,722,Food services and drinking places,35063
2008-01-01,7224,Drinking places,1497
2008-01-01,7225,Restaurants and other eating places,30334
2008-01-01,722511,Full service restaurants,15506
2008-01-01,"722513, 722514, 722515",Limited service eating places,14828
2007-12-01,no code,"Retail and food services sales, total",426077
2007-12-01,no code,Retail sales and food services excl motor vehicle and parts,357006
2007-12-01,no code,Retail sales and food services excl gasoline stations,387063
2007-12-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,317992
2007-12-01,no code,"Retail sales, total",387473
2007-12-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",318402
2007-12-01,no code,GAFO(1),143646
2007-12-01,441,Motor vehicle and parts dealers,69071
2007-12-01,"44,114,412",Automobile and other motor vehicle dealers,63300
2007-12-01,4411,Automobile dealers,59124
2007-12-01,44111,New car dealers,53410
2007-12-01,44112,Used car dealers,5714
2007-12-01,4413,"Automotive parts, acc., and tire stores",5771
2007-12-01,"442,443","Furniture, home furn, electronics, and appliance stores",25644
2007-12-01,442,Furniture and home furnishings stores,10487
2007-12-01,4421,Furniture stores,4985
2007-12-01,4422,Home furnishings stores,5502
2007-12-01,44221,Floor covering stores,1610
2007-12-01,442299,All other home furnishings stores,3771
2007-12-01,443,Electronics and appliance stores,15157
2007-12-01,443141,Household appliance stores,1665
2007-12-01,443142,Electronics stores,13492
2007-12-01,444,Building mat. and garden equip. and supplies dealers,22293
2007-12-01,4441,Building mat. and supplies dealers,19900
2007-12-01,44412,Paint and wallpaper stores,629
2007-12-01,44413,Hardware stores,1739
2007-12-01,445,Food and beverage stores,51130
2007-12-01,4451,Grocery stores,44476
2007-12-01,44511,Supermarkets and other grocery (except convenience) stores,42581
2007-12-01,4453,"Beer, wine, and liquor stores",4403
2007-12-01,446,Health and personal care stores,21689
2007-12-01,44611,Pharmacies and drug stores,18434
2007-12-01,447,Gasoline stations,39014
2007-12-01,448,Clothing and clothing access. stores,30635
2007-12-01,4481,Clothing stores,20843
2007-12-01,44811,Men's clothing stores,1237
2007-12-01,44812,Women's clothing stores,4703
2007-12-01,44814,Family clothing stores,11167
2007-12-01,44819,Other clothing stores,1760
2007-12-01,4482,Shoe stores,2983
2007-12-01,44831,Jewelry stores,6521
2007-12-01,451,"Sporting goods, hobby, musical instrument, and book stores",11235
2007-12-01,45111,Sporting goods stores,4496
2007-12-01,45112,"Hobby, toy, and game stores",3253
2007-12-01,451211,Book stores,2179
2007-12-01,452,General merchandise stores,71499
2007-12-01,4521,Department stores,29554
2007-12-01,452111,Department stores(excl. discount department stores),11822
2007-12-01,452112,Discount dept. stores,17732
2007-12-01,4529,Other general merchandise stores,41945
2007-12-01,45291,Warehouse clubs and superstores,36439
2007-12-01,45299,All other gen. merchandise stores,5506
2007-12-01,453,Miscellaneous store retailers,11273
2007-12-01,4532,"Office supplies, stationery, and gift stores",4633
2007-12-01,45321,Office supplies and stationery stores,2144
2007-12-01,45322,"Gift, novelty, and souvenir stores",2489
2007-12-01,45330,Used merchandise stores,1009
2007-12-01,454,Nonstore retailers,33990
2007-12-01,4541,Electronic shopping and mail-order houses,25289
2007-12-01,45431,Fuel dealers,4681
2007-12-01,722,Food services and drinking places,38604
2007-12-01,7224,Drinking places,1634
2007-12-01,7225,Restaurants and other eating places,33296
2007-12-01,722511,Full service restaurants,17354
2007-12-01,"722513, 722514, 722515",Limited service eating places,15942
2007-11-01,no code,"Retail and food services sales, total",377802
2007-11-01,no code,Retail sales and food services excl motor vehicle and parts,310458
2007-11-01,no code,Retail sales and food services excl gasoline stations,338000
2007-11-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,270656
2007-11-01,no code,"Retail sales, total",341848
2007-11-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",274504
2007-11-01,no code,GAFO(1),106767
2007-11-01,441,Motor vehicle and parts dealers,67344
2007-11-01,"44,114,412",Automobile and other motor vehicle dealers,61212
2007-11-01,4411,Automobile dealers,57241
2007-11-01,44111,New car dealers,51284
2007-11-01,44112,Used car dealers,5957
2007-11-01,4413,"Automotive parts, acc., and tire stores",6132
2007-11-01,"442,443","Furniture, home furn, electronics, and appliance stores",20960
2007-11-01,442,Furniture and home furnishings stores,10012
2007-11-01,4421,Furniture stores,5063
2007-11-01,4422,Home furnishings stores,4949
2007-11-01,44221,Floor covering stores,1807
2007-11-01,442299,All other home furnishings stores,2980
2007-11-01,443,Electronics and appliance stores,10948
2007-11-01,443141,Household appliance stores,1635
2007-11-01,443142,Electronics stores,9313
2007-11-01,444,Building mat. and garden equip. and supplies dealers,25850
2007-11-01,4441,Building mat. and supplies dealers,22742
2007-11-01,44412,Paint and wallpaper stores,766
2007-11-01,44413,Hardware stores,1678
2007-11-01,445,Food and beverage stores,46809
2007-11-01,4451,Grocery stores,41910
2007-11-01,44511,Supermarkets and other grocery (except convenience) stores,40058
2007-11-01,4453,"Beer, wine, and liquor stores",3297
2007-11-01,446,Health and personal care stores,19639
2007-11-01,44611,Pharmacies and drug stores,16713
2007-11-01,447,Gasoline stations,39802
2007-11-01,448,Clothing and clothing access. stores,20550
2007-11-01,4481,Clothing stores,15317
2007-11-01,44811,Men's clothing stores,804
2007-11-01,44812,Women's clothing stores,3598
2007-11-01,44814,Family clothing stores,8288
2007-11-01,44819,Other clothing stores,1098
2007-11-01,4482,Shoe stores,2258
2007-11-01,44831,Jewelry stores,2792
2007-11-01,451,"Sporting goods, hobby, musical instrument, and book stores",7384
2007-11-01,45111,Sporting goods stores,2939
2007-11-01,45112,"Hobby, toy, and game stores",2208
2007-11-01,451211,Book stores,1227
2007-11-01,452,General merchandise stores,54310
2007-11-01,4521,Department stores,20878
2007-11-01,452111,Department stores(excl. discount department stores),7754
2007-11-01,452112,Discount dept. stores,13124
2007-11-01,4529,Other general merchandise stores,33432
2007-11-01,45291,Warehouse clubs and superstores,29236
2007-11-01,45299,All other gen. merchandise stores,4196
2007-11-01,453,Miscellaneous store retailers,9703
2007-11-01,4532,"Office supplies, stationery, and gift stores",3563
2007-11-01,45321,Office supplies and stationery stores,1880
2007-11-01,45322,"Gift, novelty, and souvenir stores",1683
2007-11-01,45330,Used merchandise stores,944
2007-11-01,454,Nonstore retailers,29497
2007-11-01,4541,Electronic shopping and mail-order houses,21583
2007-11-01,45431,Fuel dealers,3719
2007-11-01,722,Food services and drinking places,35954
2007-11-01,7224,Drinking places,1623
2007-11-01,7225,Restaurants and other eating places,30691
2007-11-01,722511,Full service restaurants,15555
2007-11-01,"722513, 722514, 722515",Limited service eating places,15136
2007-10-01,no code,"Retail and food services sales, total",368681
2007-10-01,no code,Retail sales and food services excl motor vehicle and parts,294220
2007-10-01,no code,Retail sales and food services excl gasoline stations,329256
2007-10-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,254795
2007-10-01,no code,"Retail sales, total",331073
2007-10-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",256612
2007-10-01,no code,GAFO(1),90808
2007-10-01,441,Motor vehicle and parts dealers,74461
2007-10-01,"44,114,412",Automobile and other motor vehicle dealers,67717
2007-10-01,4411,Automobile dealers,62846
2007-10-01,44111,New car dealers,56263
2007-10-01,44112,Used car dealers,6583
2007-10-01,4413,"Automotive parts, acc., and tire stores",6744
2007-10-01,"442,443","Furniture, home furn, electronics, and appliance stores",17414
2007-10-01,442,Furniture and home furnishings stores,9069
2007-10-01,4421,Furniture stores,4740
2007-10-01,4422,Home furnishings stores,4329
2007-10-01,44221,Floor covering stores,1977
2007-10-01,442299,All other home furnishings stores,2193
2007-10-01,443,Electronics and appliance stores,8345
2007-10-01,443141,Household appliance stores,1486
2007-10-01,443142,Electronics stores,6859
2007-10-01,444,Building mat. and garden equip. and supplies dealers,27380
2007-10-01,4441,Building mat. and supplies dealers,24458
2007-10-01,44412,Paint and wallpaper stores,905
2007-10-01,44413,Hardware stores,1667
2007-10-01,445,Food and beverage stores,45553
2007-10-01,4451,Grocery stores,40924
2007-10-01,44511,Supermarkets and other grocery (except convenience) stores,39006
2007-10-01,4453,"Beer, wine, and liquor stores",3087
2007-10-01,446,Health and personal care stores,20208
2007-10-01,44611,Pharmacies and drug stores,17264
2007-10-01,447,Gasoline stations,39425
2007-10-01,448,Clothing and clothing access. stores,17614
2007-10-01,4481,Clothing stores,13209
2007-10-01,44811,Men's clothing stores,717
2007-10-01,44812,Women's clothing stores,3306
2007-10-01,44814,Family clothing stores,6883
2007-10-01,44819,Other clothing stores,982
2007-10-01,4482,Shoe stores,2080
2007-10-01,44831,Jewelry stores,2175
2007-10-01,451,"Sporting goods, hobby, musical instrument, and book stores",5973
2007-10-01,45111,Sporting goods stores,2570
2007-10-01,45112,"Hobby, toy, and game stores",1275
2007-10-01,451211,Book stores,1129
2007-10-01,452,General merchandise stores,46285
2007-10-01,4521,Department stores,16354
2007-10-01,452111,Department stores(excl. discount department stores),5929
2007-10-01,452112,Discount dept. stores,10425
2007-10-01,4529,Other general merchandise stores,29931
2007-10-01,45291,Warehouse clubs and superstores,26270
2007-10-01,45299,All other gen. merchandise stores,3661
2007-10-01,453,Miscellaneous store retailers,9828
2007-10-01,4532,"Office supplies, stationery, and gift stores",3522
2007-10-01,45321,Office supplies and stationery stores,1845
2007-10-01,45322,"Gift, novelty, and souvenir stores",1677
2007-10-01,45330,Used merchandise stores,1007
2007-10-01,454,Nonstore retailers,26932
2007-10-01,4541,Electronic shopping and mail-order houses,19574
2007-10-01,45431,Fuel dealers,2988
2007-10-01,722,Food services and drinking places,37608
2007-10-01,7224,Drinking places,1664
2007-10-01,7225,Restaurants and other eating places,31744
2007-10-01,722511,Full service restaurants,15926
2007-10-01,"722513, 722514, 722515",Limited service eating places,15818
2007-09-01,no code,"Retail and food services sales, total",353936
2007-09-01,no code,Retail sales and food services excl motor vehicle and parts,280466
2007-09-01,no code,Retail sales and food services excl gasoline stations,316261
2007-09-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,242791
2007-09-01,no code,"Retail sales, total",317145
2007-09-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",243675
2007-09-01,no code,GAFO(1),87545
2007-09-01,441,Motor vehicle and parts dealers,73470
2007-09-01,"44,114,412",Automobile and other motor vehicle dealers,67408
2007-09-01,4411,Automobile dealers,62397
2007-09-01,44111,New car dealers,55806
2007-09-01,44112,Used car dealers,6591
2007-09-01,4413,"Automotive parts, acc., and tire stores",6062
2007-09-01,"442,443","Furniture, home furn, electronics, and appliance stores",17160
2007-09-01,442,Furniture and home furnishings stores,8885
2007-09-01,4421,Furniture stores,4873
2007-09-01,4422,Home furnishings stores,4012
2007-09-01,44221,Floor covering stores,1776
2007-09-01,442299,All other home furnishings stores,2093
2007-09-01,443,Electronics and appliance stores,8275
2007-09-01,443141,Household appliance stores,1405
2007-09-01,443142,Electronics stores,6870
2007-09-01,444,Building mat. and garden equip. and supplies dealers,25243
2007-09-01,4441,Building mat. and supplies dealers,22706
2007-09-01,44412,Paint and wallpaper stores,843
2007-09-01,44413,Hardware stores,1589
2007-09-01,445,Food and beverage stores,44719
2007-09-01,4451,Grocery stores,40191
2007-09-01,44511,Supermarkets and other grocery (except convenience) stores,38278
2007-09-01,4453,"Beer, wine, and liquor stores",3057
2018-11-01,44221,Floor covering stores,
2007-09-01,446,Health and personal care stores,18864
2007-09-01,44611,Pharmacies and drug stores,15966
2007-09-01,447,Gasoline stations,37675
2007-09-01,448,Clothing and clothing access. stores,16765
2007-09-01,4481,Clothing stores,12564
2007-09-01,44811,Men's clothing stores,656
2007-09-01,44812,Women's clothing stores,3177
2007-09-01,44814,Family clothing stores,6434
2007-09-01,44819,Other clothing stores,913
2007-09-01,4482,Shoe stores,2030
2007-09-01,44831,Jewelry stores,2025
2007-09-01,451,"Sporting goods, hobby, musical instrument, and book stores",6351
2007-09-01,45111,Sporting goods stores,2712
2007-09-01,45112,"Hobby, toy, and game stores",1102
2007-09-01,451211,Book stores,1578
2007-09-01,452,General merchandise stores,43958
2007-09-01,4521,Department stores,15254
2007-09-01,452111,Department stores(excl. discount department stores),5626
2007-09-01,452112,Discount dept. stores,9628
2007-09-01,4529,Other general merchandise stores,28704
2007-09-01,45291,Warehouse clubs and superstores,25356
2007-09-01,45299,All other gen. merchandise stores,3348
2007-09-01,453,Miscellaneous store retailers,9442
2007-09-01,4532,"Office supplies, stationery, and gift stores",3311
2007-09-01,45321,Office supplies and stationery stores,1948
2007-09-01,45322,"Gift, novelty, and souvenir stores",1363
2007-09-01,45330,Used merchandise stores,885
2007-09-01,454,Nonstore retailers,23498
2007-09-01,4541,Electronic shopping and mail-order houses,17206
2007-09-01,45431,Fuel dealers,2338
2007-09-01,722,Food services and drinking places,36791
2007-09-01,7224,Drinking places,1668
2007-09-01,7225,Restaurants and other eating places,30911
2007-09-01,722511,Full service restaurants,15599
2007-09-01,"722513, 722514, 722515",Limited service eating places,15312
2007-08-01,no code,"Retail and food services sales, total",388016
2007-08-01,no code,Retail sales and food services excl motor vehicle and parts,303383
2007-08-01,no code,Retail sales and food services excl gasoline stations,347629
2007-08-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,262996
2007-08-01,no code,"Retail sales, total",349191
2007-08-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",264558
2007-08-01,no code,GAFO(1),97930
2007-08-01,441,Motor vehicle and parts dealers,84633
2007-08-01,"44,114,412",Automobile and other motor vehicle dealers,77809
2007-08-01,4411,Automobile dealers,71327
2007-08-01,44111,New car dealers,64017
2007-08-01,44112,Used car dealers,7310
2007-08-01,4413,"Automotive parts, acc., and tire stores",6824
2007-08-01,"442,443","Furniture, home furn, electronics, and appliance stores",19076
2007-08-01,442,Furniture and home furnishings stores,9867
2007-08-01,4421,Furniture stores,5206
2007-08-01,4422,Home furnishings stores,4661
2007-08-01,44221,Floor covering stores,2087
2007-08-01,442299,All other home furnishings stores,2410
2007-08-01,443,Electronics and appliance stores,9209
2007-08-01,443141,Household appliance stores,1565
2007-08-01,443142,Electronics stores,7644
2007-08-01,444,Building mat. and garden equip. and supplies dealers,28261
2007-08-01,4441,Building mat. and supplies dealers,25666
2007-08-01,44412,Paint and wallpaper stores,1005
2007-08-01,44413,Hardware stores,1735
2007-08-01,445,Food and beverage stores,46670
2007-08-01,4451,Grocery stores,41896
2007-08-01,44511,Supermarkets and other grocery (except convenience) stores,39847
2007-08-01,4453,"Beer, wine, and liquor stores",3292
2007-08-01,446,Health and personal care stores,20154
2007-08-01,44611,Pharmacies and drug stores,16992
2007-08-01,447,Gasoline stations,40387
2007-08-01,448,Clothing and clothing access. stores,18850
2007-08-01,4481,Clothing stores,13737
2007-08-01,44811,Men's clothing stores,636
2007-08-01,44812,Women's clothing stores,3205
2007-08-01,44814,Family clothing stores,7471
2007-08-01,44819,Other clothing stores,913
2007-08-01,4482,Shoe stores,2777
2007-08-01,44831,Jewelry stores,2178
2007-08-01,451,"Sporting goods, hobby, musical instrument, and book stores",7750
2007-08-01,45111,Sporting goods stores,3378
2007-08-01,45112,"Hobby, toy, and game stores",1084
2007-08-01,451211,Book stores,2327
2007-08-01,452,General merchandise stores,48371
2007-08-01,4521,Department stores,17283
2007-08-01,452111,Department stores(excl. discount department stores),6155
2007-08-01,452112,Discount dept. stores,11128
2007-08-01,4529,Other general merchandise stores,31088
2007-08-01,45291,Warehouse clubs and superstores,27534
2007-08-01,45299,All other gen. merchandise stores,3554
2007-08-01,453,Miscellaneous store retailers,10151
2007-08-01,4532,"Office supplies, stationery, and gift stores",3883
2007-08-01,45321,Office supplies and stationery stores,2421
2007-08-01,45322,"Gift, novelty, and souvenir stores",1462
2007-08-01,45330,Used merchandise stores,895
2007-08-01,454,Nonstore retailers,24888
2007-08-01,4541,Electronic shopping and mail-order houses,18523
2007-08-01,45431,Fuel dealers,2207
2007-08-01,722,Food services and drinking places,38825
2007-08-01,7224,Drinking places,1713
2007-08-01,7225,Restaurants and other eating places,33725
2007-08-01,722511,Full service restaurants,17025
2007-08-01,"722513, 722514, 722515",Limited service eating places,16700
2007-07-01,no code,"Retail and food services sales, total",372354
2007-07-01,no code,Retail sales and food services excl motor vehicle and parts,293257
2007-07-01,no code,Retail sales and food services excl gasoline stations,331658
2007-07-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,252561
2007-07-01,no code,"Retail sales, total",333815
2007-07-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",254718
2007-07-01,441,Motor vehicle and parts dealers,79097
2007-07-01,"44,114,412",Automobile and other motor vehicle dealers,72619
2007-07-01,4411,Automobile dealers,66174
2007-07-01,44111,New car dealers,59393
2007-07-01,44112,Used car dealers,6781
2007-07-01,4413,"Automotive parts, acc., and tire stores",6478
2007-07-01,"442,443","Furniture, home furn, electronics, and appliance stores",17637
2007-07-01,442,Furniture and home furnishings stores,9194
2007-07-01,4421,Furniture stores,4874
2007-07-01,4422,Home furnishings stores,4320
2007-07-01,44221,Floor covering stores,1901
2007-07-01,442299,All other home furnishings stores,2253
2007-07-01,443,Electronics and appliance stores,8443
2007-07-01,443141,Household appliance stores,1479
2007-07-01,443142,Electronics stores,6964
2007-07-01,444,Building mat. and garden equip. and supplies dealers,28511
2007-07-01,4441,Building mat. and supplies dealers,25588
2007-07-01,44412,Paint and wallpaper stores,974
2007-07-01,44413,Hardware stores,1726
2007-07-01,445,Food and beverage stores,46416
2007-07-01,4451,Grocery stores,41619
2007-07-01,44511,Supermarkets and other grocery (except convenience) stores,39563
2007-07-01,4453,"Beer, wine, and liquor stores",3322
2007-07-01,446,Health and personal care stores,19375
2007-07-01,44611,Pharmacies and drug stores,16542
2007-07-01,447,Gasoline stations,40696
2007-07-01,448,Clothing and clothing access. stores,16883
2007-07-01,4481,Clothing stores,12537
2007-07-01,44811,Men's clothing stores,629
2007-07-01,44812,Women's clothing stores,2770
2007-07-01,44814,Family clothing stores,6744
2007-07-01,44819,Other clothing stores,1104
2007-07-01,4482,Shoe stores,2139
2007-07-01,44831,Jewelry stores,2052
2007-07-01,451,"Sporting goods, hobby, musical instrument, and book stores",6333
2007-07-01,45111,Sporting goods stores,3165
2007-07-01,45112,"Hobby, toy, and game stores",1102
2007-07-01,451211,Book stores,1220
2007-07-01,452,General merchandise stores,45847
2007-07-01,4521,Department stores,15653
2007-07-01,452111,Department stores(excl. discount department stores),5458
2007-07-01,452112,Discount dept. stores,10195
2007-07-01,4529,Other general merchandise stores,30194
2007-07-01,45291,Warehouse clubs and superstores,26736
2007-07-01,45299,All other gen. merchandise stores,3458
2007-07-01,453,Miscellaneous store retailers,9597
2007-07-01,4532,"Office supplies, stationery, and gift stores",3229
2007-07-01,45321,Office supplies and stationery stores,1784
2007-07-01,45322,"Gift, novelty, and souvenir stores",1445
2007-07-01,45330,Used merchandise stores,836
2007-07-01,454,Nonstore retailers,23423
2007-07-01,4541,Electronic shopping and mail-order houses,17617
2007-07-01,45431,Fuel dealers,1989
2007-07-01,722,Food services and drinking places,38539
2007-07-01,7224,Drinking places,1830
2007-07-01,7225,Restaurants and other eating places,33196
2007-07-01,722511,Full service restaurants,16720
2007-07-01,"722513, 722514, 722515",Limited service eating places,16476
2007-06-01,no code,"Retail and food services sales, total",376639
2007-06-01,no code,Retail sales and food services excl motor vehicle and parts,296815
2007-06-01,no code,Retail sales and food services excl gasoline stations,336158
2007-06-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,256334
2007-06-01,no code,"Retail sales, total",338189
2007-06-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",258365
2007-06-01,no code,GAFO(1),91675
2007-06-01,441,Motor vehicle and parts dealers,79824
2007-06-01,"44,114,412",Automobile and other motor vehicle dealers,73265
2007-06-01,4411,Automobile dealers,65945
2007-06-01,44111,New car dealers,59095
2007-06-01,44112,Used car dealers,6850
2007-06-01,4413,"Automotive parts, acc., and tire stores",6559
2007-06-01,"442,443","Furniture, home furn, electronics, and appliance stores",17571
2007-06-01,442,Furniture and home furnishings stores,9171
2007-06-01,4421,Furniture stores,4892
2007-06-01,4422,Home furnishings stores,4279
2007-06-01,44221,Floor covering stores,1952
2007-06-01,442299,All other home furnishings stores,2171
2007-03-01,44831,Jewelry stores,1999
2007-06-01,443,Electronics and appliance stores,8400
2007-06-01,443141,Household appliance stores,1532
2007-06-01,443142,Electronics stores,6868
2007-06-01,444,Building mat. and garden equip. and supplies dealers,30194
2007-06-01,4441,Building mat. and supplies dealers,26408
2007-06-01,44412,Paint and wallpaper stores,976
2007-06-01,44413,Hardware stores,1965
2007-06-01,445,Food and beverage stores,46140
2007-06-01,4451,Grocery stores,41279
2007-06-01,44511,Supermarkets and other grocery (except convenience) stores,39257
2007-06-01,4453,"Beer, wine, and liquor stores",3364
2007-06-01,446,Health and personal care stores,19542
2007-06-01,44611,Pharmacies and drug stores,16497
2007-06-01,447,Gasoline stations,40481
2007-06-01,448,Clothing and clothing access. stores,17289
2007-06-01,4481,Clothing stores,12806
2007-06-01,44811,Men's clothing stores,718
2007-06-01,44812,Women's clothing stores,3412
2007-06-01,44814,Family clothing stores,6629
2007-06-01,44819,Other clothing stores,858
2007-06-01,4482,Shoe stores,2094
2007-06-01,44831,Jewelry stores,2226
2007-06-01,451,"Sporting goods, hobby, musical instrument, and book stores",6555
2007-06-01,45111,Sporting goods stores,3380
2007-06-01,45112,"Hobby, toy, and game stores",1096
2007-06-01,451211,Book stores,1161
2007-06-01,452,General merchandise stores,47122
2007-06-01,4521,Department stores,16307
2007-06-01,452111,Department stores(excl. discount department stores),5820
2007-06-01,452112,Discount dept. stores,10487
2007-06-01,4529,Other general merchandise stores,30815
2007-06-01,45291,Warehouse clubs and superstores,27231
2007-06-01,45299,All other gen. merchandise stores,3584
2007-06-01,453,Miscellaneous store retailers,10325
2007-06-01,4532,"Office supplies, stationery, and gift stores",3138
2007-06-01,45321,Office supplies and stationery stores,1669
2007-06-01,45322,"Gift, novelty, and souvenir stores",1469
2007-06-01,45330,Used merchandise stores,885
2007-06-01,454,Nonstore retailers,23146
2007-06-01,4541,Electronic shopping and mail-order houses,17211
2007-06-01,45431,Fuel dealers,1978
2007-06-01,722,Food services and drinking places,38450
2007-06-01,7224,Drinking places,1701
2007-06-01,7225,Restaurants and other eating places,33151
2007-06-01,722511,Full service restaurants,16860
2007-06-01,"722513, 722514, 722515",Limited service eating places,16291
2007-05-01,no code,"Retail and food services sales, total",391512
2007-05-01,no code,Retail sales and food services excl motor vehicle and parts,306329
2007-05-01,no code,Retail sales and food services excl gasoline stations,350134
2007-05-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,264951
2007-05-01,no code,"Retail sales, total",353201
2007-05-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",268018
2007-05-01,no code,GAFO(1),93516
2007-05-01,441,Motor vehicle and parts dealers,85183
2007-05-01,"44,114,412",Automobile and other motor vehicle dealers,78577
2007-05-01,4411,Automobile dealers,70465
2007-05-01,44111,New car dealers,63279
2007-05-01,44112,Used car dealers,7186
2007-05-01,4413,"Automotive parts, acc., and tire stores",6606
