month,naics_code,kind_of_business,value
2024-05-01,4541,Electronic shopping and mail-order houses,112078
2024-05-01,45431,Fuel dealers,2297
2024-05-01,722,Food services and drinking places,100711
2024-05-01,7225,Restaurants and other eating places,89624
2024-05-01,"722513, 722514, 722515",Limited service eating places,45620
2024-04-01,no code,"Retail and food services sales, total",700302
2005-09-01,44831,Jewelry stores,1756
2024-04-01,no code,Retail sales and food services excl motor vehicle and parts,561592
2024-04-01,no code,Retail sales and food services excl gasoline stations,645366
2024-04-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,506656
2024-04-01,no code,"Retail sales, total",605419
2024-04-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",466709
2024-04-01,no code,GAFO(1),121802
2024-04-01,441,Motor vehicle and parts dealers,138710
2024-04-01,"44,114,412",Automobile and other motor vehicle dealers,126921
2024-04-01,4411,Automobile dealers,117827
2024-04-01,44111,New car dealers,103876
2024-04-01,44112,Used car dealers,13951
2024-04-01,4413,"Automotive parts, acc., and tire stores",11789
2024-04-01,"442,443","Furniture, home furn, electronics, and appliance stores",17609
2024-04-01,442,Furniture and home furnishings stores,10635
2024-04-01,4421,Furniture stores,5562
2024-04-01,443,Electronics and appliance stores,6974
2024-04-01,443141,Household appliance stores,1741
2024-04-01,443142,Electronics stores,5233
2024-04-01,444,Building mat. and garden equip. and supplies dealers,44866
2024-04-01,4441,Building mat. and supplies dealers,38192
2024-04-01,44412,Paint and wallpaper stores,1563
2024-04-01,44413,Hardware stores,3681
2024-04-01,445,Food and beverage stores,78846
2024-04-01,4451,Grocery stores,70765
2024-04-01,44511,Supermarkets and other grocery (except convenience) stores,67223
2024-04-01,4453,"Beer, wine, and liquor stores",5646
2024-04-01,446,Health and personal care stores,35467
2024-04-01,44611,Pharmacies and drug stores,29687
2024-04-01,447,Gasoline stations,54936
2024-04-01,448,Clothing and clothing access. stores,23993
2024-04-01,4481,Clothing stores,17324
2024-04-01,44812,Women's clothing stores,3052
2024-04-01,44814,Family clothing stores,10067
2024-04-01,44819,Other clothing stores,1601
2024-04-01,4482,Shoe stores,2902
2024-04-01,451,"Sporting goods, hobby, musical instrument, and book stores",7332
